scene_id	onset	block_distance	depth	is_peak	w	tau_depth	min_spacing
25	388.19	0.8176490068435669	1.2151288390159607	True	1	0.5	30.0
25	392.35	0.5637446641921997		False	1	0.5	30.0
25	395.79	0.3054901957511902		False	1	0.5	30.0
25	401.45	0.7676703929901123	0.8068896532058716	False	1	0.5	30.0
25	404.65	0.42296093702316284		False	1	0.5	30.0
25	406.73	0.9012725353240967	0.8538517355918884	False	1	0.5	30.0
25	408.17	0.5257323980331421		False	1	0.5	30.0
25	412.25	0.8912244439125061	0.9330495595932007	False	1	0.5	30.0
25	413.29	0.32366693019866943		False	1	0.5	30.0
26	429.05	0.5870580077171326		False	1	0.5	30.0
26	433.23	0.8347399234771729		False	1	0.5	30.0
26	433.87	0.8559041619300842	0.29430443048477173	False	1	0.5	30.0
26	435.79	0.8304458856582642		False	1	0.5	30.0
26	437.39	0.8730159401893616	0.1668732762336731	False	1	0.5	30.0
26	440.43	0.7487127184867859		False	1	0.5	30.0
26	444.79	0.8088794946670532		False	1	0.5	30.0
26	445.79	0.8966277837753296	0.5213876366615295	True	1	0.5	30.0
26	446.55	0.6012046337127686		False	1	0.5	30.0
26	447.39	0.5231552124023438		False	1	0.5	30.0
26	451.71	0.6934294700622559	0.17558103799819946	False	1	0.5	30.0
26	454.99	0.6881226897239685		False	1	0.5	30.0
26	460.03	0.7916784286499023	0.30536264181137085	False	1	0.5	30.0
26	461.46	0.5898715257644653		False	1	0.5	30.0
29	489.46	0.8052787780761719	0.48844897747039795	False	1	0.5	30.0
29	490.74	0.3168298006057739		False	1	0.5	30.0
29	491.86	0.7790365219116211	1.1821430325508118	True	1	0.5	30.0
29	498.02	0.059100210666656494		False	1	0.5	30.0
30	500.1	0.8267713785171509	0.06376117467880249	False	1	0.5	30.0
30	501.62	0.7630102038383484		False	1	0.5	30.0
30	507.62	0.8063143491744995	0.2727934718132019	False	1	0.5	30.0
30	508.18	0.6447095274925232		False	1	0.5	30.0
30	510.18	0.5768250226974487		False	1	0.5	30.0
30	513.86	0.828289270401001		False	1	0.5	30.0
30	515.75	0.8434853553771973	0.7069385051727295	False	1	0.5	30.0
30	518.59	0.4032071828842163		False	1	0.5	30.0
30	522.19	0.7767794132232666		False	1	0.5	30.0
30	524.43	0.820677638053894		False	1	0.5	30.0
30	527.71	0.9363366365432739	0.9513798356056213	True	1	0.5	30.0
30	528.99	0.9018163681030273		False	1	0.5	30.0
30	536.51	0.5180862545967102		False	1	0.5	30.0
32	579.75	0.3969789147377014	0.18288785219192505	False	1	0.5	30.0
32	581.03	0.21409106254577637		False	1	0.5	30.0
32	584.07	0.9201133251190186	1.172300398349762	True	1	0.5	30.0
32	586.39	0.6618514657020569		False	1	0.5	30.0
32	587.43	0.5266668796539307		False	1	0.5	30.0
32	593.59	0.4538351893424988		False	1	0.5	30.0
32	597.43	0.5152785181999207		False	1	0.5	30.0
32	606.88	0.5300005674362183		False	1	0.5	30.0
32	607.28	0.692076563835144		False	1	0.5	30.0
32	612.08	0.7634327411651611	0.7255234718322754	False	1	0.5	30.0
32	616.96	0.7424291372299194		False	1	0.5	30.0
32	617.52	0.3475068211555481		False	1	0.5	30.0
32	618.56	0.8751275539398193	0.665576159954071	True	1	0.5	30.0
32	620.16	0.7371721267700195		False	1	0.5	30.0
32	622.8	0.7647297978401184		False	1	0.5	30.0
32	625.08	0.8627716302871704		False	1	0.5	30.0
32	626.4	0.8900989890098572	0.3034437894821167	False	1	0.5	30.0
32	627.92	0.8504934310913086		False	1	0.5	30.0
32	628.4	0.7395820617675781		False	1	0.5	30.0
33	639.39	0.43193238973617554		False	1	0.5	30.0
33	642.91	0.8159595131874084	0.5494044423103333	True	1	0.5	30.0
33	643.47	0.749305009841919		False	1	0.5	30.0
33	645.55	0.6505821943283081		False	1	0.5	30.0
34	670.27	0.82850182056427	0.521385669708252	False	1	0.5	30.0
34	671.15	0.30711615085601807		False	1	0.5	30.0
34	672.11	0.838761568069458	1.2109443545341492	True	1	0.5	30.0
34	675.79	0.15946263074874878		False	1	0.5	30.0
34	678.51	0.8873526453971863	0.9546638131141663	False	1	0.5	30.0
34	680.99	0.6605788469314575		False	1	0.5	30.0
36	690.99	0.20185327529907227		False	1	0.5	30.0
36	692.03	0.8125144243240356	1.2213222980499268	True	1	0.5	30.0
36	695.15	0.7757588028907776		False	1	0.5	30.0
36	698.11	0.20185327529907227		False	1	0.5	30.0
36	699.39	0.8125144243240356	1.2213222980499268	False	1	0.5	30.0
36	702.35	0.7757588028907776		False	1	0.5	30.0
36	706.03	0.20185327529907227		False	1	0.5	30.0
36	707.15	0.7344915866851807	0.9236236810684204	False	1	0.5	30.0
36	713.79	0.34350621700286865		False	1	0.5	30.0
