scene_id	onset	block_distance	depth	is_peak	w	tau_depth	min_spacing
75	665.98	0.7300647497177124	0.35318470001220703	False	1	0.5	30.0
75	673.1	0.5771722793579102		False	1	0.5	30.0
76	692.22	0.5996387004852295	0.2474532127380371	False	1	0.5	30.0
76	695.0	0.5381009578704834		False	1	0.5	30.0
76	697.16	0.3521854877471924		False	1	0.5	30.0
76	698.44	0.3896275758743286		False	1	0.5	30.0
76	699.48	0.6830466985702515	0.535061776638031	True	1	0.5	30.0
76	704.28	0.47884613275527954		False	1	0.5	30.0
76	706.2	0.7400849461555481		False	1	0.5	30.0
76	708.28	0.8046752214431763	0.32582908868789673	False	1	0.5	30.0
